"name","year","rating","genre1","genre2","cast","synopsis","imdb_votes","director","awards","budget","opening_weekend","gross_world","run_time"
"Supernova","(I) (2000)","4.9","Horror","Sci-Fi","James Spader,Angela Bassett,Robert Forster,Lou Diamond Phillips,Peter Facinelli","
        
            A deep space rescue and recovery spaceship with a crew of 6 receives a distress call from a mining operation 3432 light years away. A rescue operation via dimension jump is made. Bad idea.
    ","(17,688)","Walter Hill",NA,"
                    $90,000,000 (estimated)
            ","
                    $6,731,940, 16 Jan 2000
            ",NA,"
                            90 min
                        "
"Kull the Conqueror","(1997)","4.9","Action","Adventure","Kevin Sorbo,Tia Carrere,Thomas Ian Griffith,Litefoot,Roy Brocksmith","
        
            A barbarian warrior becomes a king when he defeats a king in armed combat and the king's heir conspire to overthrow him and reclaim the throne by resurrecting an evil sorceress.
    ","(8,154)","John Nicolella",NA,"
                    $30,000,000 (estimated)
            ","
                    $3,450,145, 01 Sep 1997
            ",NA,"
                            95 min
                        "
"Blues Brothers 2000","(1998)","4.9","Action","Comedy","Walter Levine,Dan Aykroyd,Tom Davis,Frank Oz,Shann Johnson","
        
            Elwood must reunite the old band, with a few new members, and go on another ""Mission from God.""
    ","(32,812)","John Landis","
4 nominations.
            ","
                    $28,000,000 (estimated)
            ","
                    $6,129,615, 08 Feb 1998
            ","
                    $26,000,000
            ","
                            123 min
                        "
"Showgirls","(1995)","4.9","Drama",NA,"Elizabeth Berkley,Kyle MacLachlan,Gina Gershon,Glenn Plummer,Robert Davi","
        
            Nomi, a young drifter, arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become the top of the Vegas showgirls.
    ","(65,704)","Paul Verhoeven","
10 wins & 10 nominations.
            ","
                    $45,000,000 (estimated)
            ","
                    $37,702,961
            ",NA,"
                            128 min
                        "
"The Flintstones","(1994)","4.9","Comedy","Family","John Goodman,Elizabeth Perkins,Rick Moranis,Rosie O'Donnell,Kyle MacLachlan","
        
            In a parallel modern-day Stone Age world, a working-class family, the Flintstones, are set up for an executive job. But they learn that money can't buy happiness.
    ","(79,307)","Brian Levant","
6 wins & 10 nominations.
            ","
                    $46,000,000 (estimated)
            ","
                    $228,000,000
            ",NA,"
                            91 min
                        "
"Death Wish 5: The Face of Death","(1994)","4.9","Action","Crime","Charles Bronson,Lesley-Anne Down,Michael Parks,Chuck Shamata,Kevin Lund","
        
            Paul Kersey is back at working vigilante justice when his fiancée, Olivia, has her business threatened by mobsters.
    ","(7,660)","Allan A. Goldstein",NA,"
                    $5,000,000 (estimated)
            ",NA,NA,"
                            95 min
                        "
"Ernest Rides Again","(1993)","4.9","Comedy","Family","Jim Varney,Ron James,Tom Butler,Linda Kash,Duke Ernsberger","
        
            Buffoonish Ernest and his dimwitted pal Abner unearth a huge cannon reputed to contain the crown jewels of England.
    ","(2,182)","John R. Cherry III",NA,"
                    $5,500,000 (estimated)
            ",NA,NA,"
                            96 min
                        "
"Pet Sematary II","(1992)","4.9","Fantasy","Horror","Edward Furlong,Anthony Edwards,Clancy Brown,Jared Rushton,Darlanne Fluegel","
        
            A teenage boy and his father move to his recently-deceased mother's hometown, where they encounter the ancient Native American cemetery with the power to raise the dead.
    ","(20,944)","Mary Lambert","
3 nominations.
            ","
                    $8,000,000 (estimated)
            ","
                    $6,583,000, 30 Aug 1992
            ",NA,"
                            100 min
                        "
"Honey, I Blew Up the Kid","(1992)","4.9","Adventure","Comedy","Rick Moranis,Marcia Strassman,Robert Oliveri,Daniel Shalikar,Joshua Shalikar","
        
            The Szalinski family is back, this time hilarious disaster strikes when an experiment causes their new toddler son to grow many stories tall.
    ","(43,264)","Randal Kleiser","
10 nominations.
            ","
                    $40,000,000 (estimated)
            ","
                    $11,083,318, 19 Jul 1992
            ",NA,"
                            89 min
                        "
"Cool World","(1992)","4.9","Animation","Comedy","Janni Brenn,Brad Pitt,William Frankfather,Greg Collins,Maurice LaMarche","
        
            When Jack Deebs was behind bars he found escape by creating Cool World, a cartoon series featuring a vixen named Holli Would. The flesh proves weaker than ink, however, as Holli takes human form in Las Vegas.
    ","(22,590)","Ralph Bakshi","
2 nominations.
            ","
                    $30,000,000 (estimated)
            ",NA,NA,"
                            102 min
                        "
"Problem Child 2","(1991)","4.9","Comedy","Family","John Ritter,Michael Oliver,Jack Warden,Laraine Newman,Amy Yasbeck","
        
            The worst child in the world makes an unthinkable discovery - there is another child even worse than him, and it's a girl.
    ","(21,837)","Brian Levant","
3 nominations.
            ","
                    $15,000,000 (estimated)
            ",NA,NA,"
                            90 min
                        "
"Freddy's Dead: The Final Nightmare","(1991)","4.9","Fantasy","Horror","Robert Englund,Lisa Zane,Shon Greenblatt,Lezlie Deane,Ricky Dean Logan","
        
            Dream-haunting Freddy Krueger returns once again to prowl the nightmares of Springwood's last surviving teenager, and of a woman whose personal connection to Krueger may mean his doom.
    ","(44,758)","Rachel Talalay","
1 win & 4 nominations.
            ","
                    $11,000,000 (estimated)
            ","
                    $12,966,525, 15 Sep 1991
            ",NA,"
                            89 min
                        "
"Repossessed","(1990)","4.9","Comedy","Fantasy","Linda Blair,Ned Beatty,Leslie Nielsen,Anthony Starke,Thom Sharp","
        
            Parody of The Exorcist (1973), with Linda Blair once again possessed by Satan, and Leslie Nielsen as the exorcist.
    ","(8,609)","Bob Logan","
1 win.
            ",NA,NA,NA,"
                            80 min
                        "
"Delta Force 2: The Colombian Connection","(1990)","4.9","Action","Adventure","Chuck Norris,Billy Drago,John P. Ryan,Richard Jaeckel,Begonya Plaza","
        
            When DEA agents are taken captive by a ruthless South American kingpin, the Delta Force is reunited to rescue them in this sequel to the 1986 film.
    ","(7,305)","Aaron Norris",NA,"
                    $1,854,379, 26 Aug 1990
            ",NA,NA,"
                            111 min
                        "
"Moontrap","(1988)","4.9","Horror","Sci-Fi","Walter Koenig,Bruce Campbell,Leigh Lombardi,Robert Kurcz,John J. Saunders","
        
            The Space Shuttle returns to earth, but some of the equipment brought back on it begins to behave strangely. Scientists are unsure what is happening, and decide to take all necessary precautions.
    ","(3,300)","Robert Dyke",NA,NA,NA,NA,"
                            92 min
                        "
"Zombie 3","(1988)","4.9","Action","Horror","Deran Sarafian,Beatrice Ring,Ottaviano Dell'Acqua,Massimo Vanni,Ulli Reinthaler","
        
            When a terrorist's body, infected with a stolen chemical, is cremated by the US military, a virus is unintentionally released into the atmosphere over a small island.
    ","(4,783)","Lucio Fulci",NA,NA,NA,NA,"
                            95 min
                        "
"The Unnamable","(1988)","4.9","Horror",NA,"Charles Klausmeyer,Mark Kinsey Stephenson,Alexandra Durrell,Laura Albert,Eben Ham","
        
            College students check out a haunted house where in the 1800's an ugly monster called ""the Unnamable"" was trapped in a vault.
    ","(2,639)","Jean-Paul Ouellette",NA,"
                    $350,000 (estimated)
            ",NA,NA,"
                            87 min
                        "
"Braddock: Missing in Action III","(1988)","4.9","Action","War","Chuck Norris,Aki Aleong,Roland Harrah III,Miki Kim,Yehuda Efroni","
        
            Braddock mounts a one-man assault to free his wife and son who are still being held in a Vietnam prison camp.
    ","(6,329)","Aaron Norris","
1 nomination.
            ",NA,NA,NA,"
                            103 min
                        "
"American Ninja 2: The Confrontation","(1987)","4.9","Action","Comedy","Michael Dudikoff,Steve James,Larry Poindexter,Gary Conway,Jeff Celentano","
        
            On a remote Caribbean island, Army Ranger Joe Armstrong investigates the disappearance of several marines, which leads him to The Lion, a super-criminal who has kidnapped a local scientist and mass-produced an army of mutant Ninja...
    See more »
    ","(8,606)","Sam Firstenberg",NA,"
                    $350,000 (estimated)
            ","
                    $1,039,301, 03 May 1987
            ",NA,"
                            90 min
                        "
"Eliminators","(1986)","4.9","Action","Adventure","Andrew Prine,Denise Crosby,Patrick Reynolds,Conan Lee,Roy Dotrice","
        
            A former pilot rebels against his creator, teaming up with the scientist responsible for android technology, her pet robot Spot, a rough-and-tumble riverboat guide, and a martial arts warrior.
    ","(2,233)","Peter Manoogian",NA,"
                    $1,987,072, 02 Feb 1986
            ",NA,NA,"
                            96 min
                        "
"Sheena","(1984)","4.9","Adventure","Fantasy","Tanya Roberts,Ted Wass,Donovan Scott,Elizabeth of Toro,France Zobda","
        
            Sheena grew up in the African wild, raised by a mystical witch woman. When her foster mother is framed for a murder Sheena is forced to flee, helped by her ability to talk to animals and her knowledge of the jungle.
    ","(4,813)","John Guillermin","
5 nominations.
            ","
                    $25,000,000 (estimated)
            ",NA,NA,"
                            117 min
                        "
"Paradise","(1982)","4.9","Adventure","Romance","Willie Aames,Phoebe Cates,Tuvia Tavi,Richard Curnock,Neil Vipond","
        
            After their caravan is attacked and their respective families butchered by Arab marauders, teenagers David and Sarah flee across the desert. But the desert is filled with danger from the elements, animals and the appetite of the Jackal.
    ","(2,566)","Stuart Gillard","
1 nomination.
            ","
                    CAD3,500,000 (estimated)
            ",NA,NA,"
                            100 min
                        "
"Graduation Day","(1981)","4.9","Horror","Mystery","Christopher George,Patch Mackenzie,E. Danny Murphy,E.J. Peaker,Michael Pataki","
        
            A masked killer begins murdering students on the school track team after a track runner dies upon completion of a 30 second 200-meter race.
    ","(3,914)","Herb Freed",NA,"
                    $250,000 (estimated)
            ","
                    $1,899,000
            ",NA,"
                            96 min
                        "
"Death Ship","(1980)","4.9","Adventure","Horror","George Kennedy,Richard Crenna,Nick Mancuso,Sally Ann Howes,Kate Reid","
        
            A mysterious ghostly freighter rams and sinks a modern day cruise ship whose survivors climb aboard the freighter and discover that it is a World War II Nazi torture vessel.
    ","(4,563)","Alvin Rakoff",NA,"
                    CAD4,500,000 (estimated)
            ",NA,NA,"
                            91 min
                        "
"Invasion of the Bee Girls","(1973)","4.9","Horror","Sci-Fi","William Smith,Anitra Ford,Victoria Vetri,Cliff Osmond,Wright King","
        
            A powerful cosmic force is turning Earth women into queen bees who kill men by wearing them out sexually.
    ","(2,718)","Denis Sanders",NA,NA,NA,NA,"
                            86 min
                        "
"Playmobil: The Movie","(2019)","4.8","Animation","Adventure","Anya Taylor-Joy,Jim Gaffigan,Gabriel Bateman,Adam Lambert,Kenan Thompson","
        
            Animated feature film inspired by the Playmobil brand toys.
    ","(3,876)","Lino DiSalvo",NA,"
                    $75,000,000 (estimated)
            ",NA,NA,"
                            99 min
                        "
"Amityville: The Awakening","(2017)","4.8","Horror","Thriller","Jennifer Jason Leigh,Bella Thorne,Mckenna Grace,Cameron Monaghan,Thomas Mann","
        
            A desperate single mother moves with her three children into the notorious, supposedly haunted, real-life Amityville house to try and use its dark powers to cure her comatose son. Things go horribly wrong.
    ","(13,743)","Franck Khalfoun","
1 nomination.
            ","
                    $7,948,692
            ",NA,NA,"
                            87 min
                        "
"Texas Chainsaw","(2013)","4.8","Horror","Thriller","Alexandra Daddario,Dan Yeager,Trey Songz,Scott Eastwood,Tania Raymonde","
        
            A young woman travels to Texas to collect an inheritance; little does she know that an encounter with a chainsaw-wielding killer is part of the reward.
    ","(48,185)","John Luessenhop","
2 wins & 7 nominations.
            ","
                    $20,000,000 (estimated)
            ","
                    $21,744,470, 06 Jan 2013
            ","
                    $47,241,945
            ","
                            92 min
                        "
"Halloween II","(2009)","4.8","Horror",NA,"Sheri Moon Zombie,Chase Wright Vanek,Scout Taylor-Compton,Brad Dourif,Caroline Williams","
        
            Laurie Strode struggles to come to terms with her brother Michael's deadly return to Haddonfield, Illinois; meanwhile, Michael prepares for another reunion with his sister.
    ","(52,554)","Rob Zombie","
1 win & 1 nomination.
            ","
                    $15,000,000 (estimated)
            ","
                    $16,349,565, 30 Aug 2009
            ","
                    $39,421,467
            ","
                            105 min
                        "
"The Spirit","(2008)","4.8","Action","Crime","Jaime King,Gabriel Macht,Dan Gerrity,Arthur the Cat,Kimberly Cox","
        
            Rookie cop Denny Colt returns from the beyond as The Spirit, a hero whose mission is to fight against the bad forces in Central City.
    ","(60,700)","Frank Miller","
4 nominations.
            ","
                    $60,000,000 (estimated)
            ","
                    $6,463,278, 28 Dec 2008
            ",NA,"
                            103 min
                        "
"Descent","(2007)","4.8","Drama","Thriller","Rosario Dawson,Chad Faust,Marcus Patrick,Vanessa Ferlito,Jonathan Neil Schneider","
        
            A college co-ed is brutally raped and struggles alone to rebuild her life.
    ","(3,075)","Talia Lugacy",NA,"
                    $8,411, 12 Aug 2007
            ",NA,NA,"
                            104 min
                        "
"Seed of Chucky","(2004)","4.8","Comedy","Horror","Jennifer Tilly,Brad Dourif,Billy Boyd,Redman,Hannah Spearritt","
        
            Chucky and Tiffany are resurrected by their innocent gender-confused daughter, Glenda, and hit Hollywood, where a movie depicting the killer dolls' murder spree is underway.
    ","(43,526)","Don Mancini","
1 win & 6 nominations.
            ","
                    $12,000,000 (estimated)
            ","
                    $8,774,520, 14 Nov 2004
            ","
                    $24,829,644
            ","
                            87 min
                        "
"They","(2002)","4.8","Horror","Mystery","Laura Regan,Marc Blucas,Ethan Embry,Dagmara Dominczyk,Jon Abrahams","
        
            A psychology student finds all her childhood fears and phobias becoming real after a traumatic event.
    ","(12,758)","Robert Harmon","
1 win & 1 nomination.
            ","
                    $17,000,000 (estimated)
            ","
                    $5,144,090, 01 Dec 2002
            ","
                    $3,289,543
            ","
                            89 min
                        "
"The Animal","(2001)","4.8","Comedy","Sci-Fi","Rob Schneider,Colleen Haskell,John C. McGinley,Ed Asner,Michael Caton","
        
            After receiving organ transplants from various animal donors, a man finds himself taking on the traits of those animals.
    ","(59,206)","Luke Greenfield","
6 nominations.
            ","
                    $47,000,000 (estimated)
            ","
                    $19,610,520, 03 Jun 2001
            ","
                    $84,772,742
            ","
                            84 min
                        "
"Harvard Man","(2001)","4.8","Comedy","Crime","Adrian Grenier,Sarah Michelle Gellar,Joey Lauren Adams,Eric Stoltz,Rebecca Gayheart","
        
            A basketball player strikes a deal with the mob to fix a basketball game.
    ","(4,396)","James Toback",NA,"
                    $5,500,000 (estimated)
            ","
                    $8,425, 19 May 2002
            ",NA,"
                            99 min
                        "
"Monkeybone","(2001)","4.8","Animation","Comedy","Brendan Fraser,Bridget Fonda,John Turturro,Chris Kattan,Giancarlo Esposito","
        
            In a coma, a cartoonist finds himself trapped within his own underground creation and must find a way to get back, while racing against his popular but treacherous character, Monkeybone.
    ","(17,531)","Henry Selick","
3 nominations.
            ","
                    $75,000,000 (estimated)
            ","
                    $2,685,078, 25 Feb 2001
            ","
                    $2,210,366
            ","
                            93 min
                        "
"Anaconda","(1997)","4.8","Action","Adventure","Jennifer Lopez,Ice Cube,Jon Voight,Eric Stoltz,Jonathan Hyde","
        
            A ""National Geographic"" film crew is taken hostage by an insane hunter, who forces them along on his quest to capture the world's largest - and deadliest - snake.
    ","(101,486)","Luis Llosa","
6 wins & 11 nominations.
            ","
                    $45,000,000 (estimated)
            ","
                    $71,000,000
            ",NA,"
                            89 min
                        "
"Ice Cream Man","(1995)","4.8","Comedy","Horror","Clint Howard,Justin Isfeld,Anndi McAfee,JoJo Adams,Mikey LeBeau","
        
            Poor Gregory. After being released from the Wishing Well Sanatorium, all he wants to do is make the children happy. So Gregory reopens the old ice cream factory, and all the unappreciative brats are reprocessed into the flavor of the day.
    ","(3,647)","Norman Apstein",NA,"
                    $2,000,000 (estimated)
            ",NA,NA,"
                            86 min
                        "
"Halloween: The Curse of Michael Myers","(1995)","4.8","Horror","Thriller","Donald Pleasence,Paul Rudd,Marianne Hagan,Mitchell Ryan,Kim Darby","
        
            Six years after Michael Myers last terrorized Haddonfield, he returns there in pursuit of his niece, Jamie Lloyd, who has escaped with her newborn child, for which Michael and a mysterious cult have sinister plans.
    ","(35,111)","Joe Chappelle","
3 wins & 1 nomination.
            ","
                    $5,000,000 (estimated)
            ","
                    $7,308,529, 01 Oct 1995
            ",NA,"
                            87 min
                        "
"Bloodsport 2","(1996)","4.8","Action","Sport","Daniel Bernhardt,Pat Morita,Donald Gibb,James Hong,Lori Lynn Dickerson","
        
            Alex Cardo is imprisoned and disciplined by one of the inmates. His new master also tells him about the brutal yet illegal Kumite tournament - but how will they get there?
    ","(3,083)","Alan Mehrez",NA,NA,NA,NA,"
                            90 min
                        "
"Best of the Best 3: No Turning Back","(1995)","4.8","Action","Crime","Phillip Rhee,Christopher McDonald,Gina Gershon,Mark Rolston,Peter Simmons","
        
            A martial arts instructor comes to the defense of a schoolteacher who has taken a stand against a local white supremacist organization.
    ","(2,156)","Phillip Rhee",NA,NA,NA,NA,"
                            90 min
                        "
"The Jerky Boys","(1995)","4.8","Comedy","Crime","John G. Brennan,Kamal Ahmed,Alan Arkin,William Hickey,Alan North","
        
            A hilarious prank phone call pushes the buttons of an angry mob boss.
    ","(2,591)","James Melkonian",NA,"
                    $7,000,000 (estimated)
            ","
                    $4,392,403, 05 Feb 1995
            ",NA,"
                            82 min
                        "
"Delta of Venus","(1995)","4.8","Drama",NA,"Audie England,Costas Mandylor,Eric da Silva,Raven Snow,Rory Campbell","
        
            A struggling American writer (England) and a fellow American expatriate (Mandylor) begin a sordid affair among the chaos and discord of 1940 Paris, France on the brink of World War II.
    ","(2,121)","Zalman King",NA,NA,NA,NA,"
                            102 min
                        "
"Teenage Mutant Ninja Turtles III","(1993)","4.8","Action","Adventure","Elias Koteas,Paige Turco,Stuart Wilson,Sab Shimono,Vivian Wu","
        
            When their closest friend April O'Neil discovers an ancient scepter with magical powers, the turtles must cow-a-bunga their way back to 17th century Japan to rescue her from the evil clutches of Lord Norinaga.
    ","(32,403)","Stuart Gillard","
1 win.
            ","
                    $17,000,000 (estimated)
            ",NA,NA,"
                            96 min
                        "
"Slipstream","(1989)","4.8","Adventure","Sci-Fi","Bob Peck,Mark Hamill,Kitty Aldridge,Bill Paxton,Susan Leong","
        
            In the near future, where Earth has been devastated by man's pollution and giant winds rule the planet, bounty hunter Matt kidnaps a murderer out of the hands of two police officers, planning to get the bounty himself.
    ","(2,612)","Steven Lisberger",NA,NA,NA,NA,"
                            102 min
                        "
"Cannibal Women in the Avocado Jungle of Death","(1989)","4.8","Action","Adventure","Shannon Tweed,Bill Maher,Karen M. Waldron,Adrienne Barbeau,Brett Stimely","
        
            The U.S. government, eager to protect the nation's avocado supplies, recruits feminist professor Margo Hunt to make contact with the Piranha Women, an all-female tribe who believe men are only good as a source of food.
    ","(2,944)","J.F. Lawton",NA,NA,NA,NA,"
                            90 min
                        "
"Who's That Girl","(1987)","4.8","Comedy","Music","Madonna,Griffin Dunne,Haviland Morris,John McMartin,Bibi Besch","
        
            The life of an uptight tax lawyer turns chaotic when he is asked to escort a young woman newly released from prison, who persuades him to help prove her innocence.
    ","(9,981)","James Foley","
2 wins & 7 nominations.
            ","
                    $17,000,000 (estimated)
            ","
                    $2,548,205, 09 Aug 1987
            ",NA,"
                            92 min
                        "
"Bloody Pom Poms","(1988)","4.8","Comedy","Horror","Betsy Russell,Leif Garrett,Lucinda Dickey,Lorie Griffin,George 'Buck' Flower","
        
            A group of cheerleaders become the targets of an unknown killer at a remote summer camp.
    ","(3,502)","John Quinn",NA,NA,NA,NA,"
                            89 min
                        "
"Solarwarriors","(1986)","4.8","Action","Adventure","Richard Jordan,Jami Gertz,Jason Patric,Lukas Haas,James Le Gros","
        
            In a post-apocalyptic future ruled by the military, a group of renegade teenage orphans find a legendary orb, Bohdai, that can supposedly bring the rain back to dried up Earth.
    ","(4,416)","Alan Johnson","
1 nomination.
            ","
                    $25,000,000 (estimated)
            ",NA,NA,"
                            94 min
                        "
"Killer Workout","(1987)","4.8","Horror",NA,"Marcia Karr,David Campbell,Fritz Matthews,Ted Prior,Teresa Van der Woude","
        
            Two years ago, a young woman named Valerie was burned after entering a tanning salon. Now, her twin sister, Rhonda, runs a local gym where, all of a sudden, people are being murdered.
    ","(2,117)","David A. Prior",NA,NA,NA,NA,"
                            85 min
                        "
"Friday the 13th V: A New Beginning","(1985)","4.8","Horror","Mystery","Anthony Barrile,Suzanne Bateman,Dominick Brascia,Todd Bryant,Curtis Conaway","
        
            Still haunted by his past, Tommy Jarvis, who, as a child, killed Jason Voorhees, is sent to a secluded halfway house in the countryside, where the killing of a young man triggers a brutal series of murders in the area.
    ","(37,096)","Danny Steinmann","
2 nominations.
            ","
                    $2,200,000 (estimated)
            ","
                    $8,032,883, 24 Mar 1985
            ",NA,"
                            92 min
                        "
"The Awakening","(1980)","4.8","Horror",NA,"Charlton Heston,Susannah York,Jill Townsend,Stephanie Zimbalist,Patrick Drury","
        
            An archeologist discovers his daughter is possessed by the spirit of an Egyptian queen. To save mankind he must destroy her.
    ","(2,296)","Mike Newell","
1 nomination.
            ",NA,NA,NA,"
                            105 min
                        "
"Squirm","(1976)","4.8","Horror",NA,"Don Scardino,Patricia Pearcy,R.A. Dow,Jean Sullivan,Peter MacLean","
        
            A storm causes some power lines to break and touch the ground, drawing millions of man-eating worms out of the earth, and into town where they quickly start munching on the locals.
    ","(5,738)","Jeff Lieberman","
1 nomination.
            ","
                    $470,000 (estimated)
            ",NA,NA,"
                            92 min
                        "
"Flesh Gordon","(1974)","4.8","Comedy","Sci-Fi","Jason Williams,Suzanne Fields,Joseph Hudgins,William Dennis Hunt,Candy Samples","
        
            Emperor Wang is leader of the planet Porno and sends his mighty ""Sex Ray"" towards Earth, turning everyone into sex-mad fiends. Only one man can save the Earth, football player Flesh Gordon
    ","(4,258)","Michael Benveniste","
2 nominations.
            ","
                    $700,000 (estimated)
            ",NA,NA,"
                            78 min
                        "
"The Boy Next Door","(2015)","4.7","Thriller",NA,"Jennifer Lopez,Ryan Guzman,Ian Nelson,John Corbett,Kristin Chenoweth","
        
            A woman, separated from her unfaithful husband, falls for a younger man who has moved in next door, but their torrid affair soon takes a dangerous turn.
    ","(40,895)","Rob Cohen","
1 win & 6 nominations.
            ","
                    $4,000,000 (estimated)
            ","
                    $14,910,105, 25 Jan 2015
            ",NA,"
                            91 min
                        "
"Game of Death","(2011)","4.7","Action","Adventure","Wesley Snipes,Aunjanue Ellis,Zoë Bell,Ernie Hudson,Quinn Duffy","
        
            Secret Ops agent Marcus is sent to Detroit to take out an arms dealer and the head of the hedge fund that is financing him. His CIA backup has other plans and turns on him and it's a fight to survive in a hospital.
    ","(6,690)","Giorgio Serafini",NA,"
                    $13,000,000 (estimated)
            ",NA,NA,"
                            98 min
                        "
"Tunnel Rats","(2008)","4.7","Action","Drama","Michael Paré,Wilson Bethel,Mitch Eakins,Erik Eidem,Brandon Fobbs","
        
            During the Vietnam War [1959-1975] a special US combat unit is sent out to hunt and kill the Viet Cong soldiers in a man-to-man combat in the endless tunnels underneath the jungle of Vietnam. Suicide squads of a special kind.
    ","(4,787)","Uwe Boll","
2 wins.
            ","
                    $8,000,000 (estimated)
            ",NA,NA,"
                            96 min
                        "
"Hoodwinked Too! Hood vs. Evil","(2011)","4.7","Animation","Adventure","Hayden Panettiere,Glenn Close,Patrick Warburton,Joan Cusack,David Ogden Stiers","
        
            Red Riding Hood is training in the group of Sister Hoods, when she and the Wolf are called to examine the sudden mysterious disappearance of Hansel and Gretel.
    ","(12,798)","Mike Disa","
1 win & 1 nomination.
            ","
                    $30,000,000 (estimated)
            ","
                    $4,108,630, 01 May 2011
            ","
                    $23,352,752
            ","
                            87 min
                        "
"Elektra","(2005)","4.7","Action","Adventure","Jennifer Garner,Goran Visnjic,Kirsten Zien,Will Yun Lee,Cary-Hiroyuki Tagawa","
        
            Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.
    ","(90,561)","Rob Bowman","
2 nominations.
            ","
                    $43,000,000 (estimated)
            ","
                    $56,558,953
            ",NA,"
                            97 min
                        "
"Full Frontal","(2002)","4.7","Comedy","Romance","David Duchovny,Nicky Katt,Catherine Keener,Mary McCormack,David Hyde Pierce","
        
            A day in the life of a group of men and women in Hollywood, in the hours leading up to a friend's birthday party.
    ","(10,990)","Steven Soderbergh","
1 nomination.
            ","
                    $2,000,000 (estimated)
            ","
                    $739,834, 04 Aug 2002
            ",NA,"
                            101 min
                        "
"My Boss's Daughter","(2003)","4.7","Comedy","Romance","Mark Aisbett,Ashton Kutcher,Jon Abrahams,Tara Reid,Molly Shannon","
        
            After a man is asked to house sit for his boss, he becomes determined to get closer to the boss's daughter, but events keep unfolding that stop him from achieving his goal.
    ","(29,089)","David Zucker","
2 nominations.
            ","
                    $14,000,000 (estimated)
            ","
                    $4,855,798, 24 Aug 2003
            ","
                    $18,191,005
            ","
                            86 min
                        "
"The Truth About Charlie","(2002)","4.7","Mystery","Thriller","Olga Sékulic,Stephen Dillane,Françoise Bertin,Thandiwe Newton,Cassius Kumar Wilkinson","
        
            A woman returns from holiday to find her husband has been murdered, and several groups of people are pressuring her to unravel the mystery of his true identity and activities during his final days.
    ","(10,364)","Jonathan Demme","
2 nominations.
            ","
                    $60,000,000 (estimated)
            ","
                    $7,093,284
            ",NA,"
                            104 min
                        "
"The in Crowd","(2000)","4.7","Drama","Mystery","Susan Ward,Lori Heuring,Matthew Settle,Nathan Bexton,Tess Harper","
        
            A mentally disturbed young woman takes a job at a posh country club and falls in with a clique of wealthy college kids where she's taken under the wing of the clique's twisted leader, who harbors some dark secrets too terrifying to tell.
    ","(4,541)","Mary Lambert",NA,"
                    $12,500,000 (estimated)
            ","
                    $1,505,551, 23 Jul 2000
            ",NA,"
                            105 min
                        "
"The Dentist 2: Brace Yourself","(1998)","4.7","Horror","Thriller","Corbin Bernsen,Jillian McWhirter,Jeff Doucette,Susanne Wright,Jim Antonio","
        
            Dr. Caine, the murdering dentist from the original movie, has escaped from the mental hospital where he has been since being caught. Hoping to resume a normal life, he makes his way to a quiet Midwestern town under a false name and takes...
    See more »
    ","(3,752)","Brian Yuzna","
1 nomination.
            ","
                    $1,800,000 (estimated)
            ",NA,NA,"
                            100 min
                        "
"Highlander: Endgame","(2000)","4.7","Action","Adventure","Adrian Paul,Christopher Lambert,Bruce Payne,Lisa Barbuscia,Donnie Yen","
        
            Immortals Connor and Duncan MacLeod must join forces against Kell, an evil immortal who has become too strong for anyone to face alone.
    ","(20,092)","Douglas Aarniokoski","
1 nomination.
            ","
                    $25,000,000 (estimated)
            ",NA,NA,"
                            87 min
                        "
"The Rage: Carrie 2","(1999)","4.7","Horror","Sci-Fi","Emily Bergl,Jason London,Dylan Bruno,J. Smith-Cameron,Amy Irving","
        
            A horrible massacre strikes up after an outcast teenage girl is taunted by a group of high school jocks, all of them unaware of her cutthroat telekinetic powers.
    ","(16,335)","Katt Shea","
1 win & 3 nominations.
            ","
                    $21,000,000 (estimated)
            ","
                    $7,065,123, 14 Mar 1999
            ","
                    $20,162,705
            ","
                            104 min
                        "
"I Still Know What You Did Last Summer","(1998)","4.7","Horror","Mystery","Jennifer Love Hewitt,Freddie Prinze Jr.,Brandy Norwood,Mekhi Phifer,Muse Watson","
        
            The murderous fisherman with a hook is back to once again stalk the two surviving teens, Julie and Ray, who had left him for dead, as well as cause even more murder and mayhem, this time at a posh island resort.
    ","(72,061)","Danny Cannon","
5 wins & 7 nominations.
            ","
                    $25,000,000 (estimated)
            ","
                    $16,520,038, 15 Nov 1998
            ","
                    $44,000,000
            ","
                            100 min
                        "
"The Crow: City of Angels","(1996)","4.7","Action","Crime","Vincent Perez,Mia Kirshner,Richard Brooks,Iggy Pop,Thomas Jane","
        
            The spirit of the Crow resurrects another man seeking revenge for the murder of his son.
    ","(20,061)","Tim Pope","
2 wins & 3 nominations.
            ","
                    $13,000,000 (estimated)
            ","
                    $9,785,111, 01 Sep 1996
            ","
                    $7,500,000
            ","
                            84 min
                        "
